Target,Text,Score,Dimension,Annotator_ID
Donald Trump,@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck!,0,Competence,Annotator_1
Barack Obama,"@user Please RT the #ImpeachObama art at the top of this thread, pinned on my page.",-1,Competence,Annotator_1
Women,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte,1,Competence,Annotator_1
Donald Trump,@user @user . I've been reeding about Trump association with Russia for over a year . Media did next to nothing . 😤,-1,Competence,Annotator_1
Hillary Clinton,@user if a Demonrat were to win I'd prefer Sanders over Killary.,0,Competence,Annotator_1
Donald Trump,@user @user You're right . I can't see Trump supporters abandoning him for any reason . They're trained to blame everything on Democrat sabotage . It's maddening .,1,Competence,Annotator_1
Women,Lol it's no ones choice but the woman's when it comes to abortion. Men shouldn't even be able to vote on the issue.,1,Competence,Annotator_1
Hillary Clinton,"@user I won't use the c-word, so I'll just say that everything Clinton does is a ""cunning stunt"". #HillaryonCNN",-2,Competence,Annotator_1
Hillary Clinton,"@user Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton",-2,Competence,Annotator_1
Donald Trump,Dear Republicans: Please nominate Donald Trump. The reminder that people like him exist will do wonders for the progressive cause,-1,Competence,Annotator_1
Hillary Clinton,Hillary upset GOP candidates didn't respond to Trump's illegal imm comments immediately-yet we're still waiting for her emails.,1,Competence,Annotator_1
Hillary Clinton,@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus,1,Competence,Annotator_1
Hillary Clinton,Oh my if Hillary Clinton wins the U.S is going to fall apart,-1,Competence,Annotator_1
Religious people,"Faith, perseverance and HardWork , is what separates Dreamers from Achievers! #GodFirst #actorslife #Dancer #LetsWork #Vision #Work",1,Competence,Annotator_1
Women,pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen,-1,Competence,Annotator_1
Donald Trump,@user @JimCarrey Trump is a stupid has been .,-2,Competence,Annotator_1
Hillary Clinton,@user @user Maybe a woman should be President.,-1,Competence,Annotator_1
Donald Trump,@realDonaldTrump fuck you racist ass bitch. Go fuck yourself,-2,Competence,Annotator_1
Donald Trump,"@user @realDonaldTrump Do you actually know the meaning of the word "" great "" ? I doubt you do . Trump is making America a laughing stock !",1,Competence,Annotator_1
Donald Trump,@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,1,Competence,Annotator_1
Donald Trump,"of the many @realDonaldTrump racist comments, this one takes the prize!  ""Laziness is a trait in blacks.""",-1,Competence,Annotator_1
Hillary Clinton,@user Stop promoting @HillaryClinton. She is a liar. Just like her impeached husband. #WakeUpAmerica,0,Competence,Annotator_1
Hillary Clinton,@clairecmc @user is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016,-1,Competence,Annotator_1
Hillary Clinton,Hillary had just enough time to doctor her email inbox to her advantage before releasing them.... hahaha #justkidding,0,Competence,Annotator_1
Hillary Clinton,Just ordered my Chillary Clinton Koozies. Gotta support the team.,-2,Competence,Annotator_1
Donald Trump,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",-2,Competence,Annotator_1
Hillary Clinton,.@user #Hillary took a #HypocriticalOath with a vow to do harm to all that cross her. Are you #ReadyForHillary  #GOP2016,0,Competence,Annotator_1
Donald Trump,Will be watching @AC360 again tomorrow to watch @realDonaldTrump interview continuation. #MakeAmericaGreatAgain,0,Competence,Annotator_1
Women,"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights",2,Competence,Annotator_1
Donald Trump,A vote against Trump is a vote against America,-1,Competence,Annotator_1
Donald Trump,@user @user The only reason Trump wants war is to distract the American people from the crimes he and his lapdogs have and are still committing .,1,Competence,Annotator_1
Hillary Clinton,Thank you for your kind RTs and FAVs @user !!! #WakeUpAmerica #todosmarchamos #Cuba,0,Competence,Annotator_1
Hillary Clinton,"@user @DrMartyFox > With continued #Obama's & @TheDemocrats Admin policymaking, #USA will become #Greece! #WakeUpAmerica #NJ",1,Competence,Annotator_1
Hillary Clinton,Have full faith in @HillaryClinton's campaign. #strategy #politics,0,Competence,Annotator_1
Donald Trump,@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!,0,Competence,Annotator_1
Nonreligious people,True community is being able to disagree and still love one another. #roadtolife,2,Competence,Annotator_1
Religious people,Any man-made ideology will always be flawed due to Man's limitations and biases. #MuslimsSalvageYourselves,2,Competence,Annotator_1
Hillary Clinton,"Norman Hsu illegally donated $850,000 to @HillaryClinton, there is evidence he worked for China.  White House for sale.",1,Competence,Annotator_1
Women,"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H",1,Competence,Annotator_1
Donald Trump,Donald Trump is gonna end up like Hitler,-1,Competence,Annotator_1
Hillary Clinton,It's a beautiful day for phone banking at the Hill House on 1529 Richland Street! Join us tonight at 6PM! @user,0,Competence,Annotator_1
Women,@ProWomanChoice forcing women to change their body's normal function is the epitome of controlling women.,0,Competence,Annotator_1
Women,I am just as much a feminist as any pro-choicer. I simply carry my beliefs to their logical conclusion. #faminism #YesAllWomen,0,Competence,Annotator_1
Women,"Hillary wants to be a champion for women, unless they're unborn.",0,Competence,Annotator_1
Hillary Clinton,@HillaryClinton @user we need to re-establish a #global system dominated by love and affection have #moral_humane RT,1,Competence,Annotator_1
Hillary Clinton,"Hillary ""We came, we saw, he [Gaddaffi] died"" psychopath Clinton. #HillaryonCNN #Nothanks",-1,Competence,Annotator_1
Women,@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,1,Competence,Annotator_1
Hillary Clinton,You don't have to be a lawyer to know the Clintons violated ethics rules.,-1,Competence,Annotator_1
Donald Trump,""" @user : WTF !!! Clinton is running against Trump , GOP , Putin , Wikileaks and now Comey !!! For Gods sake give it a rest already !!! """,0,Competence,Annotator_1
Women,Saw something about Facebook moving the gender icons around. Women are officially not living in the shadow of a man! #InternetWin,1,Competence,Annotator_1
Hillary Clinton,@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet,0,Competence,Annotator_1
Hillary Clinton,hey @HillaryClinton when you LIED about the lack of a subpoena...you REALLY thought you wouldn't get caught? #LIAR #Corruptocrat,1,Competence,Annotator_1
Donald Trump,"So, Donald gets fired, but reverend Al is still employed. Both are idiots. Makes zero sense, #NBC",1,Competence,Annotator_1
Women,@user  yes he has an opinion but the choice should be in the hands of the women You know the person directly affected?,1,Competence,Annotator_1
Women,I need feminism because:  A man in a room full of women is ecstatic. A woman in a room full of men is terrified.,-2,Competence,Annotator_1
Hillary Clinton,YES! Community policing is answer to rebuilding trust in our communities between law enforcement and the people they serve.,1,Competence,Annotator_1
Hillary Clinton,.@HillaryClinton Looking 4ward 2 hearing your Economic Agenda on Monday July13. WOW a candidate talking Specifics & not Rhetoric!,0,Competence,Annotator_1
Hillary Clinton,Well Strung is what should happed the next time these Hillary-loving ass douches encounter some trees. #RedEye,-1,Competence,Annotator_1
Barack Obama,@user #ayyylmao do #Democrats & other #liberals realize no one wants #HillaryClinton which is #Obamanation 2.0?,0,Competence,Annotator_1
Religious people,Do #Catholics follow #God's word or this #Pope's ramblings?,-1,Sociability,Annotator_10
Religious people,@user @user Is that mostly because of cancer ? \nHard times are just that hard . Did someone lead you to believe God would fix it ? I am sorry someone mislead you . God knows you don't have the stomach for religion . It's okay . He can handle it . U don't have to believe it . He will do faith for you .,-2,Sociability,Annotator_10
Donald Trump,@realDonaldTrump  WE WANT TRUMP! WE WANT TRUMP! WE WANT TRUMP!!! #MakeAmericaGreatAgain,3,Sociability,Annotator_10
Donald Trump,@user .... ah stop will ya ! We know you hate Trump but stop fawning over Biden ! At least you could be honest ... but your hatred overshadows the ability to be objective ! You use to be someone I valued .... but no more ! I wish you knew your value !,0,Sociability,Annotator_10
Hillary Clinton,@user @user Hillary for Prez = Obama's third term and that's the last thing we need!!,-1,Sociability,Annotator_10
Hillary Clinton,Only @theDemocrats want #crimigrants running amok in U.S. Cities.   #CancerIsProgressive,0,Sociability,Annotator_10
Hillary Clinton,The only way I support Hillary was if Elizabeth Warren ran or Karl Marx was running #2016 #Clinton2016,-1,Sociability,Annotator_10
Hillary Clinton,@theblaze  Heaven forbid anyone invade the space of the Queen of Lies. -_-,-1,Sociability,Annotator_10
Barack Obama,"I guarantee Hillary could care less about black rights.  If Obama did, blacks wouldn't be in the same predicament still.",-1,Sociability,Annotator_10
Hillary Clinton,I'm offended @HillaryClinton is Not in Prison & I'm offended  hasn't started 2 #ImpeachObama Now @BarackObama,-3,Sociability,Annotator_10
Donald Trump,@user @user @billmaher @StephenAtHome I see the #trump troll brigade is on you . Shows yours is a voice worth listening to .,1,Sociability,Annotator_10
Environmentalists,Population growth is only a problem because humans treat the earth like shit.  #govegan #environment,0,Sociability,Annotator_10
Hillary Clinton,#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @user,0,Sociability,Annotator_10
Women,Seems like they tolerate Prince Andrew & his being pals with Jeffrey Epstein & Ghislaine Maxwell & hanging out at his Island with teenage girls . Hypocrites . Meghan was being bullied by a racist press .,0,Sociability,Annotator_10
Hillary Clinton,Thank you @HillaryClinton for your support of the LGBT community. On this historic day I thank you for giving us hope.,2,Sociability,Annotator_10
Barack Obama,I'm offended @HillaryClinton is Not in Prison & I'm offended  hasn't started 2 #ImpeachObama Now @BarackObama,-2,Sociability,Annotator_10
Women,Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism #wtf,0,Sociability,Annotator_10
Donald Trump,@WalshFreedom Agree ... and I've been a Republican all my life until trump .,-2,Sociability,Annotator_10
Hillary Clinton,"It's good that after 30 years in public service (with zero accomplishments), Hillary is finally ready 2 serve the public! Lolol",-2,Sociability,Annotator_10
Hillary Clinton,"Jimmy Fallon music playing. Thank you .... #DonaldTrump  ... for driving Latinos and Gays out to vote by the millions.  Love,",-1,Sociability,Annotator_10
Donald Trump,@realDonaldTrump Just the title shows it’s a 5 year old mentality of defense !!,0,Sociability,Annotator_10
Donald Trump,@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.,0,Sociability,Annotator_10
Donald Trump,I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV!,0,Sociability,Annotator_10
Donald Trump,@realDonaldTrump You are the trump card of my heart.,1,Sociability,Annotator_10
Donald Trump,@user I say go for it . @user by extension offered to pay for your Wedding @user as a step in Dad . The @realDonaldTrump have some cool hotels to host .,1,Sociability,Annotator_10
Hillary Clinton,I'm conservative but I must admit I'd rather see @user as president than Mrs. Clinton. #stillvotingGOP #politics,-1,Sociability,Annotator_10
Hillary Clinton,Hilarity of the day: Hillary said she went 'above and beyond' in transparency. Really? What about the 30k deleted emails?,-1,Sociability,Annotator_10
Hillary Clinton,"Can't #UniteBlue, RT LindaSuhler: Hillary:People Trust Me, Blames 'Constant Barrage of Attacks' By the Right #delusional #WakeUpA...",-2,Sociability,Annotator_10
Women,"Yea, let's make a woman suffer 18 years and raise a child with an unfit parent who hates it because of ""morality"".",0,Sociability,Annotator_10
Donald Trump,"@user You're not wrong . I have a huge heart inherited from my mother . I care about EVERYONE I meet , except maybe Donald Trump",-1,Sociability,Annotator_10
Donald Trump,"Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands.",-1,Sociability,Annotator_10
Religious people,"@user @user If hell existed, Bush would be first in line, ""Christian"" or not. Morality transcends religion.",-1,Sociability,Annotator_10
Donald Trump,@user @user I do too 🤚 but on the other hand 🖐 is it Trump buying votes ?,-1,Sociability,Annotator_10
Hillary Clinton,"I stand with @HillaryClinton I know she is for women, poor,children, middle class and GUN CONTROL.",3,Sociability,Annotator_10
Women,I'm a woman. Can I be President? @user,0,Sociability,Annotator_10
Environmentalists,"Today Europe is breaking heat records, while Asia is breaking the lowest temperature records!! Should we not be concerned?!",0,Sociability,Annotator_10
Donald Trump,@GovWhitmer @JBPritzker @BetsyDeVosED @DemGovs @realDonaldTrump Trump you always talk about schools you appointed Betsy DeVos secretary of education but that's the worst thing you can do cuz she mismanaged funds why don't you ask her why doesn't the schools have funds to open up,0,Sociability,Annotator_10
Hillary Clinton,Great comments by @MittRomney about pathological liar #HillaryClinton .,-1,Sociability,Annotator_10
Donald Trump,"There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016",2,Sociability,Annotator_10
Barack Obama,@user @user Hillary for Prez = Obama's third term and that's the last thing we need!!,-1,Sociability,Annotator_10
Barack Obama,#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,0,Sociability,Annotator_10
Women,"I still cannot get over how much women are degraded in media, sports, and the business world simply because of who we are",0,Sociability,Annotator_10
Donald Trump,@realDonaldTrump You're FIRED! Now get out of here! Go!,-1,Sociability,Annotator_10
Hillary Clinton,Hillary can't use a fucking fax machine but you idiots are going to vote for her to be President?,-1,Sociability,Annotator_10
Hillary Clinton,Can't wait to get my #YaaasHillary shirt!  @HillaryClinton,3,Sociability,Annotator_10
Hillary Clinton,"@TheView I think our country is ready for a female pres, it can't ever be Hillary",-3,Sociability,Annotator_10
Hillary Clinton,Chelsea and her bitch mother #HillaryClinton should of committed suicide and spare the world of their hideous pasty face,-3,Sociability,Annotator_10
Hillary Clinton,"@user anytime a liberal throws around words like ""truth is"" or ""reality is"" you know they're about to LIE!",0,Sociability,Annotator_10
Donald Trump,@realDonaldTrump Just take your morning dump and shut up already .,-1,Sociability,Annotator_10
Hillary Clinton,@user @user #Programmed ppl are so damn STUCK ON BS! Clinton is free walking behind a rope! BARS ARE NEEDED! PLZ!,-3,Sociability,Annotator_10
Hillary Clinton,@user @user #Stephens begged for his life & @HillaryClinton @user is begging for ur vote #NotAChanceInHell,0,Sociability,Annotator_10
Hillary Clinton,@HillaryClinton Awesome video!  Vote for Chelsea's mom.,1,Sociability,Annotator_10
Hillary Clinton,"@user won't happen again. Hillary's coattails will help all democrats. Take back senate, Keep WH! Make history again!",2,Sociability,Annotator_10
Donald Trump,We need Obama out and @realDonaldTrump in the White House ASAP,1,Sociability,Annotator_10
Hillary Clinton,"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol",0,Sociability,Annotator_10
Donald Trump,@realDonaldTrump You go get em Donald!  The real folks are with you 110%,3,Sociability,Annotator_10
Women,"@user Women are not a demographic, we are at least 50% of the nation. So a woman is no more symbolic than a man",0,Sociability,Annotator_10
Barack Obama,@user @user Obama sees everything through an anti-Colonial prism.Every move he makes degrades our nation.#Cashinin,-2,Sociability,Annotator_10
Environmentalists,"point is . Climate scientists are definitely not alarmist . So far they've underestimated how soon we would cross those tipping points . We've left the Goldilocks zone and likely won't see it again for generations , if ever . The best we can do now is vote blue . Please . Vote blue .",0,Sociability,Annotator_10
Donald Trump,People who judge Trump based on his looks and hair style yet call him a racist bigot might be #hypocrites,0,Sociability,Annotator_10
Barack Obama,"QT @BarackObama ""I don't have much patience for anyone who denies that this challenge is real."" 1/2",0,Sociability,Annotator_10
Donald Trump,Politicians are destroying America. We need more people like @realDonaldTrump  to run for office,1,Sociability,Annotator_10
Hillary Clinton,"I've been called many things, quitter is not one of them -@HillaryClinton in Iowa City Public Library #HillaryforIA",1,Sociability,Annotator_10
Donald Trump,"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",1,Sociability,Annotator_10
Hillary Clinton,@HillaryClinton loving the new colorful profile pic! #loveit,1,Sociability,Annotator_10
Women,Women ARE capable of making decisions,1,Sociability,Annotator_10
Hillary Clinton,"@user @HillaryClinton I am going against the grain . I don't like what I have found when I looked further than mainstream news . People who love her look no further than those who love Trump do . I read Trump threads too . Same sentiment , different corporate puppet .",-2,Sociability,Annotator_10
Hillary Clinton,"Let's make Secretary Clinton, President Clinton - @user @user",1,Sociability,Annotator_10
Hillary Clinton,"Hillary Clinton has amassed $329 million in her career (3 of her top 5 donors are Citigroup, Goldman & JP Morgan). #Bernie2016",-1,Sociability,Annotator_10
Religious people,RT @user: Religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker,-2,Sociability,Annotator_10
Hillary Clinton,& I bet that @HillaryClinton is thee best choice for President in 2016she's the next best one for the people  #Vote,1,Sociability,Annotator_10
Donald Trump,@realDonaldTrump I feel the train is gaining steam.,1,Sociability,Annotator_10
Hillary Clinton,@user @user Hillaey Clinton can't help but lie...it's who she really is.,-1,Sociability,Annotator_10
Donald Trump,"Donald J. Trump, I am voting for you to be our next ""El Presidente""! #trumpforpresident",2,Sociability,Annotator_10
Barack Obama,Obama is Liberalism's false idol. Reject that P.O.S. #VoteOutRino's #BoycottMSNBC #VoteCruz #MichelleObamaIsAMan,-3,Sociability,Annotator_10
Hillary Clinton,Getting another @HillaryClinton bumper sticker because #LoveWins and 2 just wasn't enough,2,Sociability,Annotator_10
Barack Obama,With his immigration policies pwr drunk #Obama is setting himself up 2 b prez of Mex when he gets evicted from WH  #tcot,-2,Sociability,Annotator_10
Hillary Clinton,"I've been doing my reading and I do have to to say, I'm wildly impressed by Hillary Clinton",2,Sociability,Annotator_10
Donald Trump,"@user @HillaryClinton I am going against the grain . I don't like what I have found when I looked further than mainstream news . People who love her look no further than those who love Trump do . I read Trump threads too . Same sentiment , different corporate puppet .",-2,Sociability,Annotator_10
Donald Trump,Macy's to stop selling Trump merch. I guess he'll sue them next.,-1,Sociability,Annotator_10
Donald Trump,You're combover looks like the cupacabra  Guillermo @jimmykimmel so funny,0,Sociability,Annotator_10
Hillary Clinton,@HillaryClinton You have proven your dishonesty once again in flip flopping on this issue. People know you were opposed before.,-1,Sociability,Annotator_10
Hillary Clinton,@TheAtlantic cause  #Hillary Clinton is a LYING THEIVING CUNT,-3,Sociability,Annotator_10
Barack Obama,We need Obama out and @realDonaldTrump in the White House ASAP,1,Sociability,Annotator_10
Hillary Clinton,@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,0,Sociability,Annotator_10
Donald Trump,Trump believes in traditional marriage so strongly that he's been traditionally married 3x. He should teach a class or something.,-1,Sociability,Annotator_10
Hillary Clinton,@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh,0,Sociability,Annotator_10
Hillary Clinton,I'm really excited for 2016 after finding out the amount @HillaryClinton raised. We got this.,1,Sociability,Annotator_10
Hillary Clinton,Do you know what would REALLY PISS .@HillaryClinton OFF?  .@user .@user runs against her. LMAO!   #WakeUpAmerica No longer is,0,Sociability,Annotator_10
Hillary Clinton,RT @user: @user Republicans everywhere are looking for someone to lead. A leader not a liar.,-1,Sociability,Annotator_10
Religious people,@user When r u going to get some balls & stand up against the insanity of god worship. #FuckReligion #FuckJesus,0,Sociability,Annotator_10
Women,@user @ProWomanChoice d real question is. do u even research d side effects of abortion and contraceptives? #KnowYourFacts,0,Sociability,Annotator_10
Women,Anti-choice laws are entirely men controlling women,0,Sociability,Annotator_10
Nonreligious people,"For no one can lay any foundation other than the one that has been laid, that foundation is #Christ.",-1,Sociability,Annotator_10
Donald Trump,@user @user we don't need him!,0,Sociability,Annotator_10
Donald Trump,"@realDonaldTrump just so you know White people have more of a ""Rapist"" title, than Hispanics. #NotBeingRasist #DoResearch",-1,Sociability,Annotator_10
Hillary Clinton,@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,0,Sociability,Annotator_10
Religious people,Religious leader's pay depends on convincing you that their pile of superstitions is actually true. #freethinker,-3,Sociability,Annotator_10
Donald Trump,@user @JimCarrey Trump is a liar .,-1,Sociability,Annotator_10
Donald Trump,@realDonaldTrump keep it up Trump we love you #MakeAmericaGreatAgain #BoycottMacys #boycottnbc,1,Sociability,Annotator_10
Hillary Clinton,@user Do we really want to know what's under those pantsuits? Besides the black heart of evil.,-2,Sociability,Annotator_10
Hillary Clinton,@FoxNews #HappeningNow optics problem? No the real Hillary Clinton has stood up #ClintonCash #IaVotes,-1,Sociability,Annotator_10
Women,It doesnt take a miracle all takes signature and a few kind people to know not to kill innocent a women #MaryJaneLives,0,Sociability,Annotator_10
Donald Trump,Stop thinking you can walk around talking reckless in the end it will bite you in the ass #Dontjudgeme,-1,Sociability,Annotator_10
Hillary Clinton,Free market capitalism is America's best friend because of constant pressure to innovate & use resources efficiently.,0,Sociability,Annotator_10
Religious people,RT @user: Just say no to superstitious thought in general and religions in particular.  #freethinker,0,Sociability,Annotator_10
Donald Trump,"@realDonaldTrump the thing I like about Mr Trump is that if he shoots himself in the foot, he can buy another.",1,Sociability,Annotator_10
Hillary Clinton,@user Right now I think we're all sending special thanks to Donald Trump.,-1,Sociability,Annotator_10
Hillary Clinton,@user Thank you for adding me to your list,0,Sociability,Annotator_10
Religious people,I am against religion because it teaches us to be satisfied with not understanding the world. - @user,0,Sociability,Annotator_10
Hillary Clinton,"@user in her #Emails @HillaryClinton said there were ""a couple of Facebooks"" on her :) #TotalIncompetence #RedNationRising",-1,Sociability,Annotator_10
Hillary Clinton,"That's true, as long as one works hard, has a record of accomplishment and deserves it. @HillaryClinton NOT",0,Sociability,Annotator_10
Women,"#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT",0,Sociability,Annotator_10
Women,Girls over 130 pounds shouldn't wear a bikini #womenintech,0,Sociability,Annotator_10
Nonreligious people,"@user @user If hell existed, Bush would be first in line, ""Christian"" or not. Morality transcends religion.",0,Sociability,Annotator_10
Hillary Clinton,I wish #OliviaPope could run @HillaryClinton 's campaign... #Scandal #livisreal,0,Sociability,Annotator_10
Donald Trump,@WhiteHouse Ok bozo we see with our own eyes the peaceful nature of most of the protests . For those that aren't peaceful blame a small element of outsiders and NOT ANTIFASCISTS but Trump's friends the extreme right wing racists .,-1,Sociability,Annotator_10
Hillary Clinton,"Despite today's ruling, our struggle to end LGBT discrimination is also far from finished - @HillaryClinton #VirginiaJJ",0,Sociability,Annotator_10
Women,"Your life, your body, your choice.  #womenshealth #womensrights",0,Sociability,Annotator_10
Donald Trump,"If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism",-3,Sociability,Annotator_10
Hillary Clinton,"Dude, why can't Hillary run a fax machine?",-1,Sociability,Annotator_10
Nonreligious people,Religion is like a booger on the face of the earth. Atheists have the tissues.  #church #god #pray,3,Sociability,Annotator_10
Hillary Clinton,"Hey!!! If anyone wants to help with the Hillary camp at Charlotte pride, let me know!!! #nc #pride #lgbt",1,Sociability,Annotator_10
Women,@user women being independent and making their own CHOICES,0,Sociability,Annotator_10
Hillary Clinton,Great that @HillaryClinton attended #ClementaPinckney 's funeral today!!,1,Sociability,Annotator_10
Donald Trump,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human!,-2,Sociability,Annotator_10
Hillary Clinton,Dad while watching the news:  Politics is just show business for ugly people #HowAboutNo,0,Sociability,Annotator_10
Women,@user @NewAmericanMag All the Congressmen/women should be criticizing the lack of security in this Country!,0,Sociability,Annotator_10
Women,@user Yup. The women in the womb are as precious as those who are outside of it. #ProLifeYouth #AllLivesMatter,3,Sociability,Annotator_10
Hillary Clinton,@washingtonpost sir sory mae bi bharat mool ka hu par my hart is for democraet and,0,Sociability,Annotator_10
Hillary Clinton,"You know, when you talk bad about Hillary, in a sense, you're talking bad about me.",0,Sociability,Annotator_10
Hillary Clinton,"Everything Hillary touches ends up being a scam, a lie, a cover-up, or a failure. William L. Just who we want as president.",-3,Sociability,Annotator_10
