Text,Target,Competence,Sociability,Trust
.@FoxNews @brithume ok.. So where are these emails coming from? Didnt @HillaryClinton already say the server was erased? #LIES,Hillary Clinton,-1,-1,-2
.@HillaryClinton Looking 4ward 2 hearing your Economic Agenda on Monday July13. WOW a candidate talking Specifics & not Rhetoric!,Hillary Clinton,2,2,2
".@HillaryClinton The spatula seems appropriate, given that it can be used to easily flip positions if the heat gets to high.",Hillary Clinton,-2,-1,-1
.@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide!,Hillary Clinton,-1,-2,-3
".@HillaryClinton blames her lack of trust among the populace on @GOP, forgetting that she's a lying, conniving, murderous, cheat.",Hillary Clinton,0,-3,-3
.@HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T!,Hillary Clinton,-2,-1,-2
.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot,Hillary Clinton,-2,-3,-3
.@jaketapper The way @HillaryClinton keeps lying I swear her father's real last name is Geppetto. #TCOT #WakeUpAmerica,Hillary Clinton,-1,-2,-3
.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House.,Donald Trump,-2,-3,-3
.@realDonaldTrump is the real deal folks. He tells the truth. Get used to it!,Donald Trump,3,2,2
".@user On the contrary, I am happy she will win. I enjoy seeing Liberal cities burn GO",Hillary Clinton,0,-2,1
.@user The UK is considering abolishing prisons for women completely because crime is a man's fault.,Women,-1,0,-1
2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary,Hillary Clinton,-1,-2,-3
2 people that are surprising? Trump &Fiorina. Why? Cause they're being honest w/what they think.  Obama built that.,Barack Obama,0,1,1
2 people that are surprising? Trump &Fiorina. Why? Cause they're being honest w/what they think.  Obama built that.,Donald Trump,1,1,1
25% of Mexico has INVADED AMERICA - & CONTINUES to OCCUPY us  yet POS #RINO phony #Jeb BLAMES #TRUMP for telling the TRUTH! -,Donald Trump,1,1,1
297 days until I can register to vote!!1 year 193 days until Election Day #RockTheVote #democrats #everyvotecounts,Donald Trump,1,0,0
297 days until I can register to vote!!1 year 193 days until Election Day #RockTheVote #democrats #everyvotecounts,Hillary Clinton,1,1,1
5. Obama could kill us all with these race wars and black lives matters stuff. Divide and Conquer. #tcot,Barack Obama,-1,-1,-2
571 Days Left Until Obama Leaves The White House.,Barack Obama,0,-1,-1
"8 years ago today my son was taken from me. If there's a god, fuck you, fuck you very much.",Religious people,-1,-2,-1
"96 commit cards collected for Hillary in Greenville, SC so far! #FellowsSC",Hillary Clinton,1,1,0
@ABC @FiveThirtyEight I'm 74 . Donald Trump is trying to kill me . I don't vote for my own murder .,Donald Trump,0,-2,-3
@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet,Hillary Clinton,-1,-2,-3
@AP_Politics Maybe they could do a check on all the Trump family while they are at it .,Donald Trump,-1,-1,-1
@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE,Hillary Clinton,0,-1,0
@BarackObama #Love_peace and peaceful coexistence of all no to violence and #terrorism,Barack Obama,1,2,2
"@BarackObama celebrates ""equality"" while 3000 unborn babies were killed today. Let's talk about a real inequality sir #LifeEquality",Barack Obama,1,-1,-3
"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other",Hillary Clinton,0,-2,-2
@CBSThisMorning Emails missing and incomplete? Who'd of thunk it?  I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME!,Hillary Clinton,0,-2,-3
@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS.,Hillary Clinton,0,0,2
@CNN and CNN proved they are not a legitimate news organization by not calling her out about all her lies. #JournalismIsDead,Hillary Clinton,1,-1,-3
"@CNNPolitics @CNN if you spent as much time covering Bernie Sanders as you do Trump, Sanders would be ahead in every poll.",Donald Trump,0,0,0
@DemocratGuide @Reuters bur #Hlllary just raised 45 million!,Hillary Clinton,2,1,1
"@EricTrump I am sorry , are you talking about your father ? Because he definitely is not playing with a full deck . One quarter of a deck maybe on a good day .",Donald Trump,-1,-2,-2
@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder,Religious people,-1,-2,-1
"@FoxNews @user @user whose the opportunist now, #NoHillary2016",Hillary Clinton,0,-2,0
"@FoxNews report shows U.S. State Department cannot locate 15 of Hillary Clinton's Private Emails.  Not so fast, Hillary!",Hillary Clinton,1,0,-2
"@GOP If you can not debate Trump, you should not be running for president. #backurbase.",Donald Trump,0,-1,1
"@GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you?",Barack Obama,1,0,1
@GOP Of course @HillaryClinton is silent. That insures she doesn't have 2 stand 4 ANYTHING & less chance of offending voters,Hillary Clinton,-2,-1,-2
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot,Barack Obama,1,0,-1
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot,Hillary Clinton,-1,0,-1
@GOP it's time you recognize @realDonaldTrump . This movement is real. #MakeAmericaGreatAgain,Donald Trump,1,2,3
@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,Donald Trump,-1,-1,-2
@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,Women,0,2,2
@GovWhitmer @JBPritzker @BetsyDeVosED @DemGovs @realDonaldTrump Trump you always talk about schools you appointed Betsy DeVos secretary of education but that's the worst thing you can do cuz she mismanaged funds why don't you ask her why doesn't the schools have funds to open up,Donald Trump,-1,-1,-1
@HillaryClinton  A Rainbow logo? Did u know only 4% of the US is gay? (2010 Census). #WhyImNotVotingForHillary,Hillary Clinton,-1,-2,-1
@HillaryClinton @TheDemocrats How many Xanax does this wretched bitch need to sleep at night?,Hillary Clinton,-2,-3,-3
@HillaryClinton @user stand on the right side,Hillary Clinton,2,0,0
@HillaryClinton Are those women #BillClinton's next targets for assault? #MonicaLewinsky #WarOnWomen #HillaryClinton #tlot,Hillary Clinton,0,-2,-1
@HillaryClinton Awesome video!  Vote for Chelsea's mom.,Hillary Clinton,1,2,3
@HillaryClinton Did you feel same about #BillClinton's latest assault of teen girl? #hypocrite #HillaryClinton #Hillary_2016_NO,Hillary Clinton,-1,-2,-3
"@HillaryClinton Did your rich Saudi donors, who execute gays, join the team? #Hypocrite #WakeUpAmerica",Hillary Clinton,0,-2,-3
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA,Hillary Clinton,-1,-3,-3
@HillaryClinton Hahahaha how much are you going to charge them!!!! #NoHillary2016,Hillary Clinton,0,-2,-2
@HillaryClinton Hillary is a Directioner! This is awesome! :-) They need to sing at your Inauguration!,Hillary Clinton,2,2,2
@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash,Hillary Clinton,0,-1,-1
"@HillaryClinton I wish u were in Benghazi instead of those great people, chronic liar and power hungry animal",Hillary Clinton,-3,-2,-3
@HillaryClinton I'd ask #HillaryClinton to stop lying about #Benghazi & #ClintonFoundation ties to #terrorist #muslim #ISIS.,Hillary Clinton,-1,-2,-2
@HillaryClinton Many of us r near ruin! #SaveTheMiddleClass #PresidentHillaryClinton #StopOutSourcing,Hillary Clinton,0,-1,1
"@HillaryClinton More lies and hypocrisy. As senator of NY, you clearly said you were opposed to gay marriage.",Hillary Clinton,0,-2,-2
@HillaryClinton Pretty sure you're gonna lose out on a lot of hypocritical #Christian votes by pretending to care about #LGBT,Hillary Clinton,-2,-2,-2
@HillaryClinton R U desperate or what? 3rd Hillary tweet on my timeline 2day. NOT gonna vote 4 U!,Hillary Clinton,-2,-2,-2
@HillaryClinton So what's your goal for setting up victims for #BillClinton to assault? #HillaryClinton #ChelseasMom #tlot,Hillary Clinton,0,-2,-3
@HillaryClinton The deceit hand? Thats a hand you know well. Right?,Hillary Clinton,-1,-1,-3
@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton,Hillary Clinton,-1,-2,-1
@HillaryClinton Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP,Hillary Clinton,-1,-2,-1
@HillaryClinton Yes I can and will.,Hillary Clinton,1,1,1
"@HillaryClinton Your treatment of the press, Amb Stevens' fam, and the intel of the American ppl is enough to send you to jail",Hillary Clinton,-1,-2,-3
"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",Hillary Clinton,-2,-2,-3
"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",Women,-3,-2,-2
@HillaryClinton had a Legal obligation to prevent the destruction (preserve) Gov't & related documents (email). She didn't.,Hillary Clinton,-2,-1,-3
"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant",Hillary Clinton,-1,-1,-1
"@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED.",Hillary Clinton,1,2,1
"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary",Hillary Clinton,1,0,-1
"@HillaryClinton is plain amazing, humble, smart and confident! Let's get it Mrs. President! #HillaryClinton",Hillary Clinton,3,3,3
"@HillaryClinton lied about the cost of the gala, she was fined for it, but if it were @GOP they'd be in jail  Unfit for office",Hillary Clinton,-1,-1,-3
@HillaryClinton lies again She WAS subpoenaed! She violated law etc! #RedNationRising,Hillary Clinton,1,-1,-3
"@HillaryClinton lies just for the fun of it, its CRAZY!!!!! #NoHillary #WhyImNotVotingForHillary",Hillary Clinton,0,-2,-3
@HillaryClinton literally the greatest video I have ever seen.,Hillary Clinton,1,2,1
@HillaryClinton loving the new colorful profile pic! #loveit,Hillary Clinton,1,2,2
@HillaryClinton made me proud today!  Nothing like reinforcing what I already knew!,Hillary Clinton,3,1,3
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment",Hillary Clinton,-1,-1,-2
@HillaryClinton the @user speaks of women in leadership roles bringing about a more compassionate world. #potus,Hillary Clinton,2,2,2
@HillaryClinton the @user speaks of women in leadership roles bringing about a more compassionate world. #potus,Women,2,1,2
@HillaryClinton will be the nominee for the Democratic Party. Period. And she's gonna win the Presidency too. #SorryBernie,Hillary Clinton,3,0,2
@HillaryClinton will pick @SenWarren for VP -Mark my tweet. #UnstoppableTicket #ElizabethWarren,Hillary Clinton,1,1,1
@HillaryClinton you have my support. (Now lets see how many people unfollow me.) #2016election,Hillary Clinton,1,0,2
"@HillaryforIA come on, Iowa! For better USA and the ROW",Hillary Clinton,2,2,1
@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,0,0,1
@JebBush and @marcorubio cannot speak their minds b/c they are paid 2 keep things pc. @realDonaldTrump ANSWERS TO NO ONE!,Donald Trump,2,1,1
@JustinTrudeau Hey Justin I will give you 50 cents if you stop talking about climate 'Change' #Ottawa #davidsuzuki #cbc,Environmentalists,-2,-1,-1
@LilaGraceRose defunding PP won't mean fewer abortions. It will mean more dead women.,Women,0,1,-1
"@NBC to #Trump: ""HOW DARE YOU POINT OUT THAT OBAMA CAUSES 1000 GIRLS TO BE RAPED EVERY MONTH CROSSING INTO USA!""  #ccot #tcot",Barack Obama,-3,-3,0
@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired,Donald Trump,0,-1,0
"@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",Donald Trump,2,0,2
"@NickKristof @user I am so over these judges letting these little ( white ) shits go because they are "" from good families "" and "" headed to college . "" Boys from "" good families "" don't rape drunk girls . They are modeling what they see/hear at home . ( OK , I didn't read the article yet . The kid is white ? )",Women,-1,0,0
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,0,-2,-1
@ProWomanChoice @user people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic,Women,0,-1,-1
"@ProWomanChoice Exactly, no apologies needed to any #fundamentalist of any kind.  Stop apologies for rights. #p2",Women,1,1,0
@ProWomanChoice forcing women to change their body's normal function is the epitome of controlling women.,Women,0,0,3
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Donald Trump,1,1,2
@Reince This is very credible! Good work! America is desperately in need of good leadership. #VoteGOP #NoHillary,Hillary Clinton,-1,0,-1
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Barack Obama,1,2,2
@StateDept @AmbCathyRussell @user @HillaryClinton @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,2,2,3
@TMZ trump a guy born with a silver spoon up his ass who has never done a hard days work in his life  #DumpTrump #YoureFired,Donald Trump,-1,-2,-3
@TheAtlantic cause  #Hillary Clinton is a LYING THEIVING CUNT,Hillary Clinton,-2,-3,-3
@TheDemocrats @user I'm down to help for 2016 election.,Hillary Clinton,0,1,1
"@TheView I think our country is ready for a female pres, it can't ever be Hillary",Hillary Clinton,0,-2,-1
@TwitchyTeam ...and then she'll turn around and treat them like dogs. #RopeLine #SitUbuSitGoodDog,Hillary Clinton,0,-2,-2
@UN_Women @WomenUndrSiege @OSCE_RFoM It should be considered a hate crime if someone makes a threat against a woman.,Women,1,0,2
@Upworthy @HillaryClinton It should be illegal for an employer to discriminate against their workers. #EqualityForAll,Hillary Clinton,1,1,0
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,Hillary Clinton,0,-2,-2
@WhiteHouse @POTUS #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins,Religious people,-1,0,-1
@ac360 @user @andersoncooper #AC360 HECK YEAH BOMB THE CRAP OUT OF #IRAQ & SEND IN PROS TO RUN OIL FIELDS! @realDonaldTrump,Donald Trump,1,0,1
@foxnation That should have been done BEFORE she got rid of it!!! #NoHillary2016,Hillary Clinton,0,-1,-2
@foxnewspolitics NOT EVEN A LITTLE BIT!!! #Nobama #WeMissYouGipper,Barack Obama,-1,-1,-3
@greggutfeld Greg .... I am scared ! For the first time ! I am 67 and I came through a lot .... in the 60’s .... but something is different this time . The hate for Trump is dangerous ! I am trying to stay strong but this is bad !,Donald Trump,-1,0,1
@marieclaire Or...She's a grown 21st century woman who may do whatever pleases her! Especially with her fashion and body!,Women,2,1,1
@neiltyson the more afraid you're wrong the stronger you fight to avoid facing facts. Belief based in fear just compounds that,Religious people,-1,-1,-1
@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump,Donald Trump,2,2,1
@realDonaldTrump @WhoopiGoldberg @user #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll,Hillary Clinton,2,1,1
@realDonaldTrump @user We needs some Ballz back in the WH..,Donald Trump,1,1,1
@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck!,Donald Trump,0,2,0
@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.,Donald Trump,2,0,2
@realDonaldTrump Don't let the @GOP tell you how to run!  #America doesn't need another politician.  #MakeAmericaGreatAgain only,Donald Trump,1,1,0
@realDonaldTrump Favorites and retweets keep piling up for Trump! He's killing the other candidates!,Donald Trump,2,2,2
@realDonaldTrump Go get 'em Mr. Trump!!!,Donald Trump,2,1,2
@realDonaldTrump How could any reasonable intelligent person believe you when all you do is lie ?,Donald Trump,-2,-2,-3
@realDonaldTrump I don't care what @user says! I dont care what the liberals at @user say.. Keep Speaking The TRUTH!!,Donald Trump,2,2,3
@realDonaldTrump I know I'm not the only person who can't wait to see your name on the presidential ballot and vote for you!,Donald Trump,2,2,2
@realDonaldTrump I'm RTing every tweet you post! Go get em Mr. Trump- you're reigniting the fire of the American Spirit- FIGHT!,Donald Trump,2,3,3
@realDonaldTrump Illegal Immigration is FINALLY on the agenda because of you! Thank you for speaking TRUTH!,Donald Trump,2,2,3
"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!",Donald Trump,3,1,3
@realDonaldTrump Just want to say thank you for not pandering to the pc police! #richforareason #nofear,Donald Trump,0,0,2
@realDonaldTrump Just watched you on @FoxNews. You are awesome! You have my vote! #MakeAmericaGreatAgain,Donald Trump,2,3,1
"@realDonaldTrump Let's face it, we've become a passive, inert nation controlled by thugs, and redistributionists.",Donald Trump,1,-1,1
"@realDonaldTrump Mr President , let me tell you something . Nothing reigns in this country . They’re ELECTED and you’re doing a lousy job . Just for the record I didn’t vote for you last time and I found I was right not to . You’re a disgrace to the not only this country but the entire world .",Donald Trump,-1,-2,-3
"@realDonaldTrump Now that you're the leader of the GOP, will you show them what Leadership is? #MakeAmericaGreatAgain",Donald Trump,3,1,2
"@realDonaldTrump Sir, i just want you to know that you'll be the greatest President of this Generation!",Donald Trump,2,3,1
@realDonaldTrump WHY IS IT THAT YOUR CLOTHING LINE IS MADE IN CHINA? Can U say Lier pants on fire? #morningjoe #unitedblue,Donald Trump,0,-2,-3
@realDonaldTrump Whats that smell ? Oh ... its Donnie tweeting out his turds of wisdom ... LOL ! \n #LiarinChief \n #TrumpforPrison2019,Donald Trump,-1,-2,-2
@realDonaldTrump Will your grandchildren be attending public school ?,Donald Trump,0,0,0
@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain,Donald Trump,2,1,2
@realDonaldTrump You can't make this shit up ... You just CAN'T!!,Donald Trump,0,0,-1
@realDonaldTrump You go get em Donald!  The real folks are with you 110%,Donald Trump,0,2,3
"@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test.",Donald Trump,1,1,1
"@realDonaldTrump You have our backs, and we have yours. You have my vote. Boycotting anyone who opposes your patriotism. We need",Donald Trump,3,2,3
@realDonaldTrump You truly are a f*cking dummy . Its Climate Change stupid ! NOT Global Warming !,Donald Trump,-2,-2,-3
@realDonaldTrump You're FIRED! Now get out of here! Go!,Donald Trump,-1,-2,-2
@realDonaldTrump Your complete and total lack of awareness and humility is simply STUNNING !!,Donald Trump,-1,-2,-3
@realDonaldTrump first time voting and I'm definitely voting for Trump,Donald Trump,1,2,2
@realDonaldTrump had a point and one the liberal media won't dare come close to! We have a fragile and wide open border!,Donald Trump,2,0,2
"@realDonaldTrump has a plan to golf alot and watch USA crash on its self and burn . Numbers rising , Secert police kidnapping and wanting the election to be non existent .",Donald Trump,-2,-2,-2
"@realDonaldTrump has formed the ""Racistublicans"". The political party for old fat assholes. #Racistublicans  #Republicans",Donald Trump,-1,-3,-3
@realDonaldTrump has my vote! The truth will set you free and we need transparency in Washington now more than ever!,Donald Trump,2,2,2
@realDonaldTrump he is a real leader and deserves to be President.,Donald Trump,2,2,3
"@realDonaldTrump is just saying what most are thinking, you have to give him credit #Trump4POTUS",Donald Trump,2,1,2
@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get.,Donald Trump,-2,-2,-2
@realDonaldTrump is the ONLY candidate with BALLS!!!!!,Donald Trump,2,1,2
@realDonaldTrump is the most repulsive narcissist on the planet.,Donald Trump,0,-3,-3
"@realDonaldTrump is the only candidate who has in no way, shape or form been brainwashed by the pc police.",Donald Trump,0,2,3
@realDonaldTrump is the only candidate who has the backbone to get our #country back on the #rightpath,Donald Trump,3,1,3
@realDonaldTrump needs to learn when to stop talking. You are making it worse Donald... so much worse.,Donald Trump,-2,-1,-2
@realDonaldTrump not good when only @user defends you. Your big mouth & giant ego are your downfall #stupidisasstupiddoes,Donald Trump,-2,-2,-3
"@realDonaldTrump suing Univision & NBC because they cut you off. UGH great political move, because we need a greedy President!",Donald Trump,0,-1,-2
@realDonaldTrump the left should get off your back!  By the LAW anyone that crosses the border illegally is a criminal.,Donald Trump,1,2,2
"@realDonaldTrump the thing I like about Mr Trump is that if he shoots himself in the foot, he can buy another.",Donald Trump,0,0,0
"@realDonaldTrump they may be dumping you now, but when you're president they'll be begging for your business.",Donald Trump,1,0,1
@realDonaldTrump u talk a big bigoted talk & yet use illegals @ your new DC prop.Thank GD u being POTUS isn't viable! #trumpsucks,Donald Trump,-1,-2,-3
@realDonaldTrump we all want you as the next president !! You tell it has it is and not as a spineless politician!,Donald Trump,2,2,3
@realDonaldTrump we need a president who cannot be bought.,Donald Trump,2,-1,0
@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING,Donald Trump,2,2,3
@realDonaldTrump we need you in office.. Keep doing what your doing. #VoteTrump #MakeAmericaGreatAgain,Donald Trump,1,2,3
"@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need.",Donald Trump,0,-2,-3
@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain,Donald Trump,3,2,2
@realDonaldTrump your directness & honesty has moved you to the top of my list 4 #President2016! #TRUMPTRUTH,Donald Trump,2,2,3
@spectator exactly women are so weak and incapable the sight of one in a slim skin is giving them an attack of the vapours,Women,-2,-2,-2
@theblaze  Heaven forbid anyone invade the space of the Queen of Lies. -_-,Hillary Clinton,-1,-2,-2
"@theblaze American ppl are prolife, anti #Obamacare, pro #bordersecurity pro traditional marriage. Where has that gotten us.",Barack Obama,1,0,0
"@theblaze If you think Hillary isn't taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice",Barack Obama,-1,-2,-2
"@theblaze If you think Hillary isn't taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice",Hillary Clinton,-1,-2,-2
@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary,Hillary Clinton,-2,-2,-2
@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary,Women,0,0,0
@thehill @user are you kidding me...leave her to focus on issues...the next prez,Hillary Clinton,1,1,1
@thehill Great now Hillary knows how the american people feel about the majority of politicians including her,Hillary Clinton,0,0,-1
@thehill Who's in charge of Hillary's campaign? Please get it under control and on message. #smh,Hillary Clinton,-2,-1,-1
@user   #wgn #WGNTV - now mentions ROMNEY? #Hillary CARE = ROMNEY CARE = #Obamacare -- now PUBLIC OPTION for ALL,Barack Obama,0,1,0
@user   #wgn #WGNTV - now mentions ROMNEY? #Hillary CARE = ROMNEY CARE = #Obamacare -- now PUBLIC OPTION for ALL,Hillary Clinton,0,0,0
@user   Let's hope her campaign unravels before Dec.  We can't have this liar as next President.,Hillary Clinton,-1,-2,-3
