Text,Target,Dimension,Annotator_1,Annotator_2,Annotator_3,Annotator_4,Annotator_5,Annotator_6,Annotator_7
"#DemocRAT2014Slogans: ""Why work? When you can VOTE DemocRAT - twice!"" #tcot",Hillary Clinton,Sociability,-2,-2,2,0,-3,-1,
"#DemocRAT2014Slogans: ""Why work? When you can VOTE DemocRAT - twice!"" #tcot",Hillary Clinton,Trust,-3,0,0,-2,-3,,
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Barack Obama,Competence,1,-3,3,-2,1,,
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Barack Obama,Sociability,-2,-1,-1,1,-2,-1,
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Barack Obama,Trust,-3,0,-2,0,-1,,
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Hillary Clinton,Competence,1,-3,0,0,2,,
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Hillary Clinton,Sociability,0,0,1,-1,1,,
"#Democrats and #Obama reduce OUR Army by 40,000   MEANWHILE   Has increased IRS to 100,000  #HillaryClinton #Hillary",Hillary Clinton,Trust,0,-2,-2,-2,-2,,
#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards,Hillary Clinton,Competence,-2,-2,3,-3,-2,,
#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards,Hillary Clinton,Sociability,-1,-2,-2,-2,-2,,
#EpicLiberalFail Hilary lied about Banghazi and is caught on audio biahahaha #p2 #uniteblue #libcrib #libtards,Hillary Clinton,Trust,-2,-2,-3,-3,-3,-3,
#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn't exist.,Women,Competence,-1,2,-2,0,-1,,
#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn't exist.,Women,Sociability,0,-2,-1,-1,-1,,
#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn't exist.,Women,Trust,1,-2,-2,2,-2,,
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy",Women,Competence,0,-3,-2,-2,2,,
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy",Women,Sociability,2,-2,2,-1,-2,0,
"#Fiona Bruce wants a government that forces women to have children, and then refuses to financially help them. #bodyautonomy",Women,Trust,0,0,0,-3,2,,
#HILLARY has been lying for so long that her first fib was in morse code #HillNo2016,Hillary Clinton,Competence,2,2,0,3,2,,
#HILLARY has been lying for so long that her first fib was in morse code #HillNo2016,Hillary Clinton,Sociability,-1,-2,-1,-2,-2,,
#HILLARY has been lying for so long that her first fib was in morse code #HillNo2016,Hillary Clinton,Trust,-3,-3,-3,-2,-3,,
#Hillary is as transparent as a brick wall #LibertyNotHillary,Hillary Clinton,Competence,0,2,-2,-2,2,,
#Hillary is as transparent as a brick wall #LibertyNotHillary,Hillary Clinton,Sociability,0,-2,-3,-2,0,-1,
#Hillary is as transparent as a brick wall #LibertyNotHillary,Hillary Clinton,Trust,-3,-3,-3,-1,-2,,
#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo,Hillary Clinton,Competence,-1,-2,-1,-2,3,,
#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo,Hillary Clinton,Sociability,-2,-2,-3,-3,0,,
#Hillary to stop for #pizza today to garner the #Italian vote. #MSM is worthless. #libertynothillary #HillNo,Hillary Clinton,Trust,-1,-2,-2,0,-3,,
#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @user,Hillary Clinton,Competence,-2,0,1,-1,-2,,
#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @user,Hillary Clinton,Sociability,-1,-1,-1,0,0,,
#Hillary's still very weak among grassroots - as shown by how strong #BernieSanders got how fast on how little. @user,Hillary Clinton,Trust,-1,-1,-1,0,-3,-3,
#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins,Hillary Clinton,Competence,1,3,0,0,2,,
#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins,Hillary Clinton,Sociability,0,1,3,1,-3,-1,
#HillaryClinton We've all been waiting for your rainbow-striped pantsuit  #fashionista #LoveWins,Hillary Clinton,Trust,2,1,3,-3,-1,,
#HillaryClinton has yet to release @user donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,Competence,-1,1,2,2,2,-1,-1
#HillaryClinton has yet to release @user donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,Sociability,-2,-2,-1,-3,-1,,
#HillaryClinton has yet to release @user donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,Trust,-2,-3,-2,-3,-3,,
#HillaryClinton is hiring #Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto,Hillary Clinton,Competence,1,-1,-1,1,-3,-2,1
#HillaryClinton is hiring #Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto,Hillary Clinton,Sociability,-2,-2,0,-2,-1,,
#HillaryClinton is hiring #Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto,Hillary Clinton,Trust,-2,-2,-2,-3,-2,,
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,Hillary Clinton,Competence,-2,1,0,-1,0,,
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,Hillary Clinton,Sociability,-3,-2,-2,-3,2,0,
#HillaryClinton just cannot accept the fact that #America does not like her. #HillaryonCNN #BernieSanders,Hillary Clinton,Trust,0,-3,-1,0,0,,
"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol",Hillary Clinton,Competence,0,-1,-1,-2,-2,,
"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol",Hillary Clinton,Sociability,-1,-2,-1,-1,0,,
"#HillaryClinton might want to book smaller venues for her rallies, if not many empty seats will be seen on TV, that's bad lol",Hillary Clinton,Trust,1,-1,-1,2,-2,0,
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons",Hillary Clinton,Competence,-2,2,0,-2,2,,
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons",Hillary Clinton,Sociability,1,-3,-3,-3,-2,,
"#HillaryClinton wants to be elected (thinks she's entitled)to WORK 4 the PEOPLE, & yet, she wants nothing to do with them!#peons",Hillary Clinton,Trust,1,-2,-3,-3,-3,,
"#HillaryDebateQuestion So you profess admiration for #MargaretSanger who wanted to rid the country of ""negros"". Explain please?",Hillary Clinton,Competence,0,1,-2,0,,,
"#HillaryDebateQuestion So you profess admiration for #MargaretSanger who wanted to rid the country of ""negros"". Explain please?",Hillary Clinton,Sociability,-2,0,-3,-1,-3,,
"#HillaryDebateQuestion So you profess admiration for #MargaretSanger who wanted to rid the country of ""negros"". Explain please?",Hillary Clinton,Trust,-2,-3,-2,-2,-1,,
#HillaryInNH is like Adolph Hitler in a Synagogue.   #tcot #uniteblue #ctot,Hillary Clinton,Competence,-3,2,-3,-1,-2,,
#HillaryInNH is like Adolph Hitler in a Synagogue.   #tcot #uniteblue #ctot,Hillary Clinton,Sociability,-3,-3,-3,-3,-3,-3,
#HillaryInNH is like Adolph Hitler in a Synagogue.   #tcot #uniteblue #ctot,Hillary Clinton,Trust,0,0,-2,-3,-3,,
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs,Hillary Clinton,Competence,-3,0,0,1,-2,-3,
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs,Hillary Clinton,Sociability,-1,-1,-1,-2,0,,
#HillaryonCNN   The wicked person flees when no one is chasing them - Proverbs,Hillary Clinton,Trust,-1,-3,2,-2,-3,,
#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib,Hillary Clinton,Competence,-3,-2,-3,-3,2,,
#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib,Hillary Clinton,Sociability,-3,-3,-3,-3,-1,,
#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib,Hillary Clinton,Trust,0,2,-3,-3,-3,,
#INeedMeninist because @HillaryClinton is running for president...do I need to say more?,Hillary Clinton,Competence,0,0,0,2,2,,
#INeedMeninist because @HillaryClinton is running for president...do I need to say more?,Hillary Clinton,Sociability,-1,-1,-1,-1,-1,,
#INeedMeninist because @HillaryClinton is running for president...do I need to say more?,Hillary Clinton,Trust,0,-2,-2,0,0,,
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica",Barack Obama,Competence,-2,-1,-1,-2,-2,,
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica",Barack Obama,Sociability,1,-2,0,-3,0,,
"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica",Barack Obama,Trust,-2,-3,-1,0,-2,,
"#LikeAFeminist I think any woman who doesn't identify as a feminist has ""internalised misogyny",Women,Competence,-1,-1,-2,-1,1,-1,-1
"#LikeAFeminist I think any woman who doesn't identify as a feminist has ""internalised misogyny",Women,Sociability,2,-1,-1,-2,-1,,
"#LikeAFeminist I think any woman who doesn't identify as a feminist has ""internalised misogyny",Women,Trust,-1,2,-3,-1,-1,,
#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,Hillary Clinton,Competence,2,0,3,1,3,2,
#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,Hillary Clinton,Sociability,1,1,1,0,3,0,
#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,Hillary Clinton,Trust,3,1,0,3,3,,
"#NoHillary2016 & her #PredatorRat, too. MT ""@user: We need to get these stickers up nationwide! #tcot #RedNationRising",Hillary Clinton,Competence,-2,-2,-1,0,-2,-2,2
"#NoHillary2016 & her #PredatorRat, too. MT ""@user: We need to get these stickers up nationwide! #tcot #RedNationRising",Hillary Clinton,Sociability,-2,0,-2,-3,-2,,
"#NoHillary2016 & her #PredatorRat, too. MT ""@user: We need to get these stickers up nationwide! #tcot #RedNationRising",Hillary Clinton,Trust,-3,-2,-3,-3,-2,,
#NothingMoreAmericanThan complaining about Mexicans when you've been marketing off their labor.,Donald Trump,Competence,0,0,0,1,2,1,-1
#NothingMoreAmericanThan complaining about Mexicans when you've been marketing off their labor.,Donald Trump,Sociability,0,-1,0,-1,-1,,
#NothingMoreAmericanThan complaining about Mexicans when you've been marketing off their labor.,Donald Trump,Trust,-1,-3,-2,0,-2,,
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Barack Obama,Competence,-1,-2,-1,1,-1,,
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Barack Obama,Sociability,-2,-2,-2,-1,0,,
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Barack Obama,Trust,-3,-2,-3,-3,-3,-2,
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Hillary Clinton,Competence,-2,-1,1,-2,-1,,
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Hillary Clinton,Sociability,-1,-1,-3,-3,-1,,
#Obama administration lies again.. Knew of #HillaryEmails being private.. transparency????,Hillary Clinton,Trust,0,0,-3,-1,-3,,
#Obama intervenes on behalf of #Greece = Hello #drachma  Socialism = equality of misery  #tcot #pjnet,Barack Obama,Competence,0,2,-2,1,-1,-2,
#Obama intervenes on behalf of #Greece = Hello #drachma  Socialism = equality of misery  #tcot #pjnet,Barack Obama,Sociability,-2,-1,0,0,-1,0,
#Obama intervenes on behalf of #Greece = Hello #drachma  Socialism = equality of misery  #tcot #pjnet,Barack Obama,Trust,-3,-2,-3,-1,-3,,
"#Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS",Barack Obama,Competence,3,3,3,3,1,3,-1
"#Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS",Barack Obama,Sociability,2,2,0,-1,2,,
"#Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS",Barack Obama,Trust,2,3,2,1,2,,
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas,Barack Obama,Competence,-3,-2,3,2,-1,-2,0
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas,Barack Obama,Sociability,-1,0,1,0,-2,,
#POTUS seals his legacy w/ 1/2 doz wins. The #GOP agenda? STILL!! Repeal #Gun laws & #Obamacare Ban Access 2 #TotalLosers #NoIdeas,Barack Obama,Trust,-2,0,-2,0,-2,,
#PeoplesDebate Juvenile hysterics from that woman. Killing babies is bodily autonomy? People dying of neglect but lets have #VinB,Women,Competence,-3,-3,2,2,2,,
#PeoplesDebate Juvenile hysterics from that woman. Killing babies is bodily autonomy? People dying of neglect but lets have #VinB,Women,Sociability,0,0,-2,-2,-3,,
#PeoplesDebate Juvenile hysterics from that woman. Killing babies is bodily autonomy? People dying of neglect but lets have #VinB,Women,Trust,-3,-2,-2,-1,-3,,
"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty",Donald Trump,Competence,3,2,3,3,2,3,0
"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty",Donald Trump,Sociability,1,2,0,0,1,,
"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty",Donald Trump,Trust,1,3,2,1,2,,
#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter,Women,Competence,0,2,0,2,1,,
#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter,Women,Sociability,0,3,-1,0,-1,,
#ProLifeYouth if you are truly a feminist you would be fighting for the woman's life that is in the womb. #AllLivesMatter,Women,Trust,3,3,1,0,0,,
#Prolife laws kill women. Real #feminists are #prochoice. Calling us #feminazi? Because of course you have no arguments. #fem2,Women,Competence,2,0,3,0,3,-1,
#Prolife laws kill women. Real #feminists are #prochoice. Calling us #feminazi? Because of course you have no arguments. #fem2,Women,Sociability,-1,1,1,0,-2,2,
#Prolife laws kill women. Real #feminists are #prochoice. Calling us #feminazi? Because of course you have no arguments. #fem2,Women,Trust,3,1,3,2,3,,
"#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think",Hillary Clinton,Competence,-3,-2,2,-3,2,-2,
"#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think",Hillary Clinton,Sociability,-2,-2,-1,-1,-1,-3,
"#Putin, #NothingMoreAmericanThan voting for a politician to lead the country when she can't even handle email. #think",Hillary Clinton,Trust,-3,-1,-3,-3,-3,,
"#Putin, the last thing the US needs right now is another #Clinton or #Bush in the White house. We're a dynasty now? #Jeb2016",Hillary Clinton,Competence,-2,-1,-3,0,,,
"#Putin, the last thing the US needs right now is another #Clinton or #Bush in the White house. We're a dynasty now? #Jeb2016",Hillary Clinton,Sociability,-2,-1,-1,-3,-2,,
"#Putin, the last thing the US needs right now is another #Clinton or #Bush in the White house. We're a dynasty now? #Jeb2016",Hillary Clinton,Trust,-3,-3,-2,-2,0,,
"#Rapeculture is basically a FABLE. It has almost no reason on its side, but plenty of emotion. #rape #women #antifeminism #antiSJW",Women,Competence,-2,-3,-2,-3,-3,,
"#Rapeculture is basically a FABLE. It has almost no reason on its side, but plenty of emotion. #rape #women #antifeminism #antiSJW",Women,Sociability,-1,-3,-3,2,-3,,
"#Rapeculture is basically a FABLE. It has almost no reason on its side, but plenty of emotion. #rape #women #antifeminism #antiSJW",Women,Trust,-3,-2,-3,-3,3,,
"#SharkRocket ""Real People, Real Results"" commercial only includes women - So, men don't vacuum? #NotBuyingIt",Women,Competence,0,-2,0,-1,0,,
"#SharkRocket ""Real People, Real Results"" commercial only includes women - So, men don't vacuum? #NotBuyingIt",Women,Sociability,1,0,0,-1,-1,,
"#SharkRocket ""Real People, Real Results"" commercial only includes women - So, men don't vacuum? #NotBuyingIt",Women,Trust,0,2,0,1,1,,
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Hillary Clinton,Competence,-2,1,-3,-3,,,
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Hillary Clinton,Sociability,-1,-2,0,-3,-1,,
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Hillary Clinton,Trust,-3,0,-3,-3,-3,,
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Women,Competence,-2,-2,2,-2,-1,-2,2
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Women,Sociability,-1,0,-1,-3,-2,,
"#StopHillary2016 @HillaryClinton if there was a woman with integrity and honesty I would vote for such as woman president, NO",Women,Trust,-3,-1,-2,-3,-3,,
"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",Donald Trump,Competence,-3,-1,3,-3,0,-2,
"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",Donald Trump,Sociability,-2,0,-1,-1,0,-2,
"#TheDonald can't keep a beauty pageant afloat and wants to be the President?  Aw, hell no.",Donald Trump,Trust,-3,-1,-2,-3,-3,,
#Trump is ruining a party quicker than the police! #gop,Donald Trump,Competence,-2,-3,2,-2,-3,1,-2
#Trump is ruining a party quicker than the police! #gop,Donald Trump,Sociability,-2,-2,-1,-2,-1,,
#Trump is ruining a party quicker than the police! #gop,Donald Trump,Trust,-2,-2,1,-3,-3,,
"#Trump say he will donate his plasma , he very kind . He have donate his body fluids for many years and he always like to keep it secret",Donald Trump,Competence,0,1,3,-2,1,,
"#Trump say he will donate his plasma , he very kind . He have donate his body fluids for many years and he always like to keep it secret",Donald Trump,Sociability,2,0,-3,-2,-2,,
"#Trump say he will donate his plasma , he very kind . He have donate his body fluids for many years and he always like to keep it secret",Donald Trump,Trust,-3,-2,1,3,2,,
"#U2ieTour Wish the lads would've matured past Christianity, like I did. But I got a science education. They didn't. SoTheyR stuck.",Religious people,Competence,-3,0,-3,0,-3,,
"#U2ieTour Wish the lads would've matured past Christianity, like I did. But I got a science education. They didn't. SoTheyR stuck.",Religious people,Sociability,0,-1,-3,-2,-1,,
"#U2ieTour Wish the lads would've matured past Christianity, like I did. But I got a science education. They didn't. SoTheyR stuck.",Religious people,Trust,-1,0,-2,0,-1,,
"#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT",Women,Competence,1,2,0,2,0,,
"#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT",Women,Sociability,2,2,2,2,0,,
"#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT",Women,Trust,2,3,3,3,0,2,
#Weneedfeminism because Twitter has its very own misogynist harassment machine. #YesAllWomen #HeForShe #Feminist,Women,Competence,-1,2,0,0,0,,
#Weneedfeminism because Twitter has its very own misogynist harassment machine. #YesAllWomen #HeForShe #Feminist,Women,Sociability,1,3,1,0,-2,,
#Weneedfeminism because Twitter has its very own misogynist harassment machine. #YesAllWomen #HeForShe #Feminist,Women,Trust,0,-3,0,1,2,,
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,Competence,-3,1,-2,-1,2,-2,
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,Sociability,-1,-2,-2,-1,-2,-1,
"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops",Hillary Clinton,Trust,-3,-3,-3,-3,-3,,
"#WhyImNotVotingForHillary she calls education a ""non-family enterprise"" #ImCommitted2DefeatHillary Are you? #ncpol @GOP",Hillary Clinton,Competence,-3,1,0,1,0,,
"#WhyImNotVotingForHillary she calls education a ""non-family enterprise"" #ImCommitted2DefeatHillary Are you? #ncpol @GOP",Hillary Clinton,Sociability,-2,-1,2,-2,1,-2,
"#WhyImNotVotingForHillary she calls education a ""non-family enterprise"" #ImCommitted2DefeatHillary Are you? #ncpol @GOP",Hillary Clinton,Trust,-1,-3,-3,-2,-3,,
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Women,Competence,-2,3,1,1,3,,
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Women,Sociability,1,0,1,1,-1,,
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues,Women,Trust,-2,0,0,3,0,,
"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy.",Women,Competence,-1,-2,0,1,-2,,
"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy.",Women,Sociability,1,-1,-2,1,-3,-2,
"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy.",Women,Trust,-1,1,-3,2,3,,
#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,Donald Trump,Competence,2,3,1,3,3,,
#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,Donald Trump,Sociability,1,3,3,2,2,,
#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,Donald Trump,Trust,2,3,3,3,3,,
#hillaryclinton is a champion of data removal.,Hillary Clinton,Competence,-2,-1,-2,-3,0,,
#hillaryclinton is a champion of data removal.,Hillary Clinton,Sociability,-2,-1,-3,3,0,,
#hillaryclinton is a champion of data removal.,Hillary Clinton,Trust,-1,-3,-2,0,-3,,
#mtp @user How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,Competence,0,-3,2,2,-3,,
#mtp @user How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,Sociability,-2,1,-1,2,3,-1,
#mtp @user How is deleting emails -part of the government record -different from erasing parts of a tape? #nixon #p2,Hillary Clinton,Trust,-3,-1,-2,-3,0,,
"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",Donald Trump,Competence,1,-3,2,2,3,,
"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",Donald Trump,Sociability,2,2,2,0,1,,
"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",Donald Trump,Trust,3,3,3,3,1,3,
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices",Women,Competence,3,2,3,2,2,,
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices",Women,Sociability,0,1,0,3,1,,
"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices",Women,Trust,3,2,3,2,0,3,
#yesallwomen are #always #unstoppable if they cry to get their way #likeagirl   #GamerGate,Women,Competence,-3,2,2,1,-2,,
