Text,Target,Competence,Sociability,Trust
.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired,Donald Trump,-2,-1,-3
.@user #Hillary took a #HypocriticalOath with a vow to do harm to all that cross her. Are you #ReadyForHillary  #GOP2016,Hillary Clinton,1,-2,-2
".@user @user Don't just say ""no"" to Killary - work tirelessly to put her in prison - where she belongs.",Hillary Clinton,0,-2,-3
.@user @user Of course it was. She'll be handled every step of the way. They can't risk her unscripted.,Hillary Clinton,-2,0,0
".@user On the contrary, I am happy she will win. I enjoy seeing Liberal cities burn GO",Hillary Clinton,0,-2,1
.@user The UK is considering abolishing prisons for women completely because crime is a man's fault.,Women,-1,0,-1
.@user Your wee sister believes in both Santa Claus and feminism. Think harder about what that means.,Women,-2,-1,-1
/#Leftest #Hippocratic #Domecrats won't vote for #FineLady #MichellBachmann but will vote for #EmailScandal #Benghazi #Killary,Hillary Clinton,0,-1,-3
2 million bogus followers on Twitter @HillaryClinton #WhyImNotVotingForHillary,Hillary Clinton,-1,-2,-3
2 people that are surprising? Trump &Fiorina. Why? Cause they're being honest w/what they think.  Obama built that.,Barack Obama,0,1,1
2 people that are surprising? Trump &Fiorina. Why? Cause they're being honest w/what they think.  Obama built that.,Donald Trump,1,1,1
2016 is going to be a great year. Rush Limbaugh's contract is over and he will be dropped by so many. Liberal victory #stoprush,Hillary Clinton,0,0,0
25% of Mexico has INVADED AMERICA - & CONTINUES to OCCUPY us  yet POS #RINO phony #Jeb BLAMES #TRUMP for telling the TRUTH! -,Donald Trump,1,1,1
297 days until I can register to vote!!1 year 193 days until Election Day #RockTheVote #democrats #everyvotecounts,Donald Trump,1,0,0
297 days until I can register to vote!!1 year 193 days until Election Day #RockTheVote #democrats #everyvotecounts,Hillary Clinton,1,1,1
5. Obama could kill us all with these race wars and black lives matters stuff. Divide and Conquer. #tcot,Barack Obama,-1,-1,-2
571 Days Left Until Obama Leaves The White House.,Barack Obama,0,-1,-1
"8 years ago today my son was taken from me. If there's a god, fuck you, fuck you very much.",Religious people,-1,-2,-1
"96 commit cards collected for Hillary in Greenville, SC so far! #FellowsSC",Hillary Clinton,1,1,0
@ABC @FiveThirtyEight I'm 74 . Donald Trump is trying to kill me . I don't vote for my own murder .,Donald Trump,0,-2,-3
@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.,Donald Trump,1,0,0
@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.,Hillary Clinton,0,-1,0
@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet,Hillary Clinton,-1,-2,-3
@AP_Politics Maybe they could do a check on all the Trump family while they are at it .,Donald Trump,-1,-1,-1
@AppSame  obama and hillary and ordoughan and the Khomeinians and MB And ISIS are all serving the Freemasonry,Barack Obama,0,-2,-2
@AppSame  obama and hillary and ordoughan and the Khomeinians and MB And ISIS are all serving the Freemasonry,Hillary Clinton,-1,-1,-1
@AppSame: Queen @HillaryClinton Was asked What she thought about @realDonaldTrump comments on illegals She Said LET ME EAT PIE,Hillary Clinton,0,-1,0
@BarackObama #Love_peace and peaceful coexistence of all no to violence and #terrorism,Barack Obama,1,2,2
"@BarackObama celebrates ""equality"" while 3000 unborn babies were killed today. Let's talk about a real inequality sir #LifeEquality",Barack Obama,1,-1,-3
@BarackObama thanks for selling out all the workers who voted for you for pushing FastTrack #sellout,Barack Obama,-1,-1,-2
@BernieSanders if men were the ones that got preganant this would be a non issue in America #Bernie2016 #WomensRights #Solidarity,Women,0,0,1
"@Breaking911 Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other",Hillary Clinton,0,-2,-2
@CBSThisMorning Emails missing and incomplete? Who'd of thunk it?  I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME!,Hillary Clinton,0,-2,-3
@CNN @jimsciutto Good i'view #Brianna. #Hillary NOT responsible 4 slander/libel-lies r indefensible. WILL be next #POTUS.,Hillary Clinton,0,0,2
@CNN One would hope everyone would be fired up over such a blatant lie,Hillary Clinton,1,-1,0
@CNN and CNN proved they are not a legitimate news organization by not calling her out about all her lies. #JournalismIsDead,Hillary Clinton,1,-1,-3
"@CNNPolitics @CNN if you spent as much time covering Bernie Sanders as you do Trump, Sanders would be ahead in every poll.",Donald Trump,0,0,0
@CorrectRecord is quite obsessed with emails and transparency. Why did Hillary Clinton destroy her emails? #clintonemail,Hillary Clinton,0,-1,-3
@DemocratGuide @Reuters bur #Hlllary just raised 45 million!,Hillary Clinton,2,1,1
@ENews Tell @TerrenceJ to stop speaking about women is such a belittling manner. You should NEVER lie to women. #Equality #asshole,Women,1,0,1
"@EricTrump I am sorry , are you talking about your father ? Because he definitely is not playing with a full deck . One quarter of a deck maybe on a good day .",Donald Trump,-1,-2,-2
@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder,Religious people,-1,-2,-1
@FoxNews #HappeningNow optics problem? No the real Hillary Clinton has stood up #ClintonCash #IaVotes,Hillary Clinton,1,0,-2
@FoxNews @user @HillaryClinton Actually she should be disqualified from running!How many scams and ethics problems now?,Hillary Clinton,-1,-3,-2
"@FoxNews @user @user whose the opportunist now, #NoHillary2016",Hillary Clinton,0,-2,0
"@FoxNews report shows U.S. State Department cannot locate 15 of Hillary Clinton's Private Emails.  Not so fast, Hillary!",Hillary Clinton,1,0,-2
@FoxNews we just have to hang in there long enough that this idiot doesn't completely destroy the country,Hillary Clinton,-1,-2,-2
"@GOP If you can not debate Trump, you should not be running for president. #backurbase.",Donald Trump,0,-1,1
"@GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you?",Barack Obama,1,0,1
@GOP Of course @HillaryClinton is silent. That insures she doesn't have 2 stand 4 ANYTHING & less chance of offending voters,Hillary Clinton,-2,-1,-2
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot,Barack Obama,1,0,-1
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot,Hillary Clinton,-1,0,-1
@GOP it's time you recognize @realDonaldTrump . This movement is real. #MakeAmericaGreatAgain,Donald Trump,1,2,3
"@GOPChairwoman @POTUS45 wasn't for anything he delayed and downplayed covid "" it will be gone in a month "" he said big pharmacy is responsible for the vaccine most anti-vaxxers are Retrumplicans",Donald Trump,-1,-2,-3
@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,Donald Trump,-1,-1,-2
@GOPChairwoman @realDonaldTrump I'm 72 .. voted Republican until trump . I am ashamed and embarrassed by trump's gop . I will be voting for you . We may not always agree but dear God you are so damn smart ! Finally ! Smart women will save us all .,Women,0,2,2
@GovWhitmer @JBPritzker @BetsyDeVosED @DemGovs @realDonaldTrump Trump you always talk about schools you appointed Betsy DeVos secretary of education but that's the worst thing you can do cuz she mismanaged funds why don't you ask her why doesn't the schools have funds to open up,Donald Trump,-1,-1,-1
@GregAbbott_TX which god? Yours? not mine. oh wait i don't have one. #LoveWins,Religious people,0,-2,-1
@HillaryClinton  A Rainbow logo? Did u know only 4% of the US is gay? (2010 Census). #WhyImNotVotingForHillary,Hillary Clinton,-1,-2,-1
"@HillaryClinton : ""Change religious beliefs"" to accommodate the violence of abortion?! #WhyI'mNotVotingForHillary",Hillary Clinton,-1,-2,-2
"@HillaryClinton : ""Change religious beliefs"" to accommodate the violence of abortion?! #WhyI'mNotVotingForHillary",Women,0,-1,-1
@HillaryClinton : Women deserve a better candidate for the HIGH HONOR of first woman President. We ALL do!,Hillary Clinton,-2,1,-2
@HillaryClinton : Women deserve a better candidate for the HIGH HONOR of first woman President. We ALL do!,Women,0,1,0
@HillaryClinton > since trickle down economics has failed when was the last time a poor person created jobs?,Hillary Clinton,-2,-1,-2
@HillaryClinton @TheDemocrats How many Xanax does this wretched bitch need to sleep at night?,Hillary Clinton,-2,-3,-3
@HillaryClinton @user hope to see her in NC soon,Hillary Clinton,1,2,2
@HillaryClinton @user stand on the right side,Hillary Clinton,2,0,0
@HillaryClinton @user we need to re-establish a #global system dominated by love and affection have #moral_humane RT,Donald Trump,1,1,0
@HillaryClinton @user we need to re-establish a #global system dominated by love and affection have #moral_humane RT,Hillary Clinton,1,1,1
@HillaryClinton Are those women #BillClinton's next targets for assault? #MonicaLewinsky #WarOnWomen #HillaryClinton #tlot,Hillary Clinton,0,-2,-1
@HillaryClinton Awesome video!  Vote for Chelsea's mom.,Hillary Clinton,1,2,3
@HillaryClinton Did you feel same about #BillClinton's latest assault of teen girl? #hypocrite #HillaryClinton #Hillary_2016_NO,Hillary Clinton,-1,-2,-3
"@HillaryClinton Did your rich Saudi donors, who execute gays, join the team? #Hypocrite #WakeUpAmerica",Hillary Clinton,0,-2,-3
@HillaryClinton End lawless #ClintonFoundation. Jail Butcher of #Benghazi. #Arrest rapist #BillClinton. #HillaryClinton,Hillary Clinton,1,-1,-3
@HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime.,Hillary Clinton,0,-1,-1
@HillaryClinton FUCK OFF CROTCH ROT BITCH  WE ALL KNOW WHAT YOU THINK ABOUT WOMEN AND RAPED GIRLS #HILLARYCLINTON #USA,Hillary Clinton,-1,-3,-3
@HillaryClinton Hahahaha how much are you going to charge them!!!! #NoHillary2016,Hillary Clinton,0,-2,-2
@HillaryClinton Hillary is a Directioner! This is awesome! :-) They need to sing at your Inauguration!,Hillary Clinton,2,2,2
@HillaryClinton Hillary pandering with her logo. #ClintonFoundationscandal #ClintonCash,Hillary Clinton,0,-1,-1
@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters.,Hillary Clinton,0,-1,-2
"@HillaryClinton I wish u were in Benghazi instead of those great people, chronic liar and power hungry animal",Hillary Clinton,-3,-2,-3
@HillaryClinton I'd ask #HillaryClinton to stop lying about #Benghazi & #ClintonFoundation ties to #terrorist #muslim #ISIS.,Hillary Clinton,-1,-2,-2
@HillaryClinton Many of us r near ruin! #SaveTheMiddleClass #PresidentHillaryClinton #StopOutSourcing,Hillary Clinton,0,-1,1
"@HillaryClinton More lies and hypocrisy. As senator of NY, you clearly said you were opposed to gay marriage.",Hillary Clinton,0,-2,-2
@HillaryClinton Pretty sure you're gonna lose out on a lot of hypocritical #Christian votes by pretending to care about #LGBT,Hillary Clinton,-2,-2,-2
@HillaryClinton R U desperate or what? 3rd Hillary tweet on my timeline 2day. NOT gonna vote 4 U!,Hillary Clinton,-2,-2,-2
@HillaryClinton Says the millionaire politician who accepts $$$ from countries that execute gays. #Hypocrite #WakeUpAmerica,Hillary Clinton,-1,-2,-2
@HillaryClinton So what's your goal for setting up victims for #BillClinton to assault? #HillaryClinton #ChelseasMom #tlot,Hillary Clinton,0,-2,-3
@HillaryClinton Stop raising taxes and let people keep more of their wages! #LibertyNotHillary #StandWithRand,Hillary Clinton,1,-1,-2
@HillaryClinton The deceit hand? Thats a hand you know well. Right?,Hillary Clinton,-1,-1,-3
@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton,Hillary Clinton,-1,-2,-1
@HillaryClinton Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP,Hillary Clinton,-1,-2,-1
"@HillaryClinton Wow, #HillaryClinton looks very fat in that pants suit. #liberals #tlot #Democrats",Hillary Clinton,-1,-2,-2
@HillaryClinton Yes I can and will.,Hillary Clinton,1,1,1
@HillaryClinton Yes! I am chipping in 5$ because we have faith in you.,Hillary Clinton,2,2,2
@HillaryClinton You Flip/Flopped on the Gay marriage issue; must be more votes available with your current view?,Hillary Clinton,0,-1,-1
@HillaryClinton You can run but you ca't hide. #ClintonFoundationscandal #ClintonCash #emailgate,Hillary Clinton,0,-1,-2
@HillaryClinton You have proven your dishonesty once again in flip flopping on this issue. People know you were opposed before.,Hillary Clinton,-1,-2,-2
"@HillaryClinton Your treatment of the press, Amb Stevens' fam, and the intel of the American ppl is enough to send you to jail",Hillary Clinton,-1,-2,-3
"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",Hillary Clinton,-2,-2,-3
"@HillaryClinton bad wife, bad role model for women, bad lawyer, bad First Lady, bad Senator, horrible Secretary of State.",Women,-3,-2,-2
@HillaryClinton great job on @CNN interview today.  Fuck stupid MSM. Go,Hillary Clinton,2,0,2
@HillaryClinton had a Legal obligation to prevent the destruction (preserve) Gov't & related documents (email). She didn't.,Hillary Clinton,-2,-1,-3
"@HillaryClinton had a duty to preserve ESI Now it's someone's duty to prosecute & sanction her Apparently ""duty"" is irrelevant",Hillary Clinton,-1,-1,-1
"@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED.",Hillary Clinton,1,2,1
@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA,Hillary Clinton,2,2,3
@HillaryClinton interview was ridiculous!! She's such a liar!,Hillary Clinton,-3,-3,-3
"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary",Hillary Clinton,1,0,-1
@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus,Hillary Clinton,0,1,1
"@HillaryClinton is plain amazing, humble, smart and confident! Let's get it Mrs. President! #HillaryClinton",Hillary Clinton,3,3,3
"@HillaryClinton lied about the cost of the gala, she was fined for it, but if it were @GOP they'd be in jail  Unfit for office",Hillary Clinton,-1,-1,-3
@HillaryClinton lies again She WAS subpoenaed! She violated law etc! #RedNationRising,Hillary Clinton,1,-1,-3
"@HillaryClinton lies just for the fun of it, its CRAZY!!!!! #NoHillary #WhyImNotVotingForHillary",Hillary Clinton,0,-2,-3
@HillaryClinton literally the greatest video I have ever seen.,Hillary Clinton,1,2,1
@HillaryClinton loving the new colorful profile pic! #loveit,Hillary Clinton,1,2,2
@HillaryClinton made me proud today!  Nothing like reinforcing what I already knew!,Hillary Clinton,3,1,3
"@HillaryClinton now can add #ropegate to her long list of ""accomplishments #hillaryforprison2016 #entertainment",Hillary Clinton,-1,-1,-2
@HillaryClinton said #AllLivesMatter just like she said marriage was between a man and a woman! Giver her a few more years,Hillary Clinton,-1,-1,-1
@HillaryClinton the @user speaks of women in leadership roles bringing about a more compassionate world. #potus,Hillary Clinton,2,2,2
@HillaryClinton the @user speaks of women in leadership roles bringing about a more compassionate world. #potus,Women,2,1,2
@HillaryClinton will be the nominee for the Democratic Party. Period. And she's gonna win the Presidency too. #SorryBernie,Hillary Clinton,3,0,2
@HillaryClinton will pick @SenWarren for VP -Mark my tweet. #UnstoppableTicket #ElizabethWarren,Hillary Clinton,1,1,1
@HillaryClinton you have my support. (Now lets see how many people unfollow me.) #2016election,Hillary Clinton,1,0,2
"@HillaryClinton: Here's to fearless women chasing their goals. Congratulations, Team #USA! H",Women,2,3,2
@HillaryNews #GoKatie Ted you're not going to be President! #HillaryAllTheWay #GayMarriageisLegal #LGBT #GLAAD #PFLAG,Hillary Clinton,1,0,1
"@HillaryforIA come on, Iowa! For better USA and the ROW",Hillary Clinton,2,2,1
@HuffPostPol If @HillaryClinton can do half of what he did then she would be doing is a favor,Hillary Clinton,0,0,1
@JebBush and @marcorubio cannot speak their minds b/c they are paid 2 keep things pc. @realDonaldTrump ANSWERS TO NO ONE!,Donald Trump,2,1,1
@JustinTrudeau Hey Justin I will give you 50 cents if you stop talking about climate 'Change' #Ottawa #davidsuzuki #cbc,Environmentalists,-2,-1,-1
@JustinTrudeau I also support Men's wrongs as well as Women's rights #Standforchoice #womensrights,Women,0,2,1
@LifeNewsHQ What could have happened in her past to make her the cruel & frighteningly hard-hearted woman she is? #waronwomen,Women,0,-1,-1
"@LifeSite Right, where are the pre-born women's rights? #allLivesMatter #equalRights",Women,0,0,0
@LilaGraceRose defunding PP won't mean fewer abortions. It will mean more dead women.,Women,0,1,-1
@MeghanMcCain Why is anti semitism worse than other isms ? All these white supremacist groups are anti semites . Just because you are pro Palestinian doesn't make you anti semite . The biggest problem is confusing politics with religion .,Religious people,-1,-1,0
"@NBC to #Trump: ""HOW DARE YOU POINT OUT THAT OBAMA CAUSES 1000 GIRLS TO BE RAPED EVERY MONTH CROSSING INTO USA!""  #ccot #tcot",Barack Obama,-3,-3,0
@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired,Donald Trump,0,-1,0
@NRO Does @user have any grasp on reality? I need more than 140 characters to address someone as naive as this man.,Hillary Clinton,-1,0,-1
"@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",Donald Trump,2,0,2
"@NickKristof @user I am so over these judges letting these little ( white ) shits go because they are "" from good families "" and "" headed to college . "" Boys from "" good families "" don't rape drunk girls . They are modeling what they see/hear at home . ( OK , I didn't read the article yet . The kid is white ? )",Women,-1,0,0
@OutnumberedFNC: Hillary chooses Brianna Keilar for her first interview. What can we expect? Disgusting slobbering over her.,Hillary Clinton,0,-2,-1
@ProWomanChoice @user people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic,Women,0,-1,-1
